Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-0.7777678,-0.7513467,-0.6636689,-0.6718881,-0.6409807,-0.6363772,-0.5731802
Belarus,BLR,Control of Corruption: Estimate,CC.EST,-0.3048674,-0.3350109,-0.2569613,-0.2574071,-0.1850613,-0.0375447,-0.1682376
Belarus,BLR,Government Effectiveness: Estimate,GE.EST,-0.4866249,-0.4590869,-0.478073,-0.3413015,-0.295147,-0.1843532,-0.7293182
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1797822,0.1100165,0.1422815,-0.0534834,0.3480572,0.3323891,-0.7303549
Belarus,BLR,Rule of Law: Estimate,RL.EST,-0.8404086,-0.8130023,-0.7162234,-0.8187015,-0.830292,-0.7943493,-0.9959167
Belize,BLZ,Control of Corruption: Estimate,CC.EST,-0.1981375,-0.2224529,-0.2427203,-0.298598,-0.1370772,-0.1957777,-0.1919857
Belize,BLZ,Government Effectiveness: Estimate,GE.EST,-0.6578027,-0.6844357,-0.6760404,-0.7029624,-0.5964406,-0.6776266,-0.6464335
Belize,BLZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0485831,0.0430976,0.0606221,0.0357257,0.0031797,0.0630389,0.5117432
Belize,BLZ,Rule of Law: Estimate,RL.EST,-0.7452539,-0.7210283,-0.8639369,-0.8768259,-0.8238621,-0.7752398,-0.7596992
Bermuda,BMU,Control of Corruption: Estimate,CC.EST,1.225432,1.218931,1.228804,1.245126,1.239041,1.234696,1.314374
Bermuda,BMU,Government Effectiveness: Estimate,GE.EST,0.9520539,1.007015,1.328458,1.389179,1.386165,1.361957,1.543409
Bermuda,BMU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9138978,0.983049,0.9996701,1.001911,1.152475,1.065074,1.014357
Bermuda,BMU,Rule of Law: Estimate,RL.EST,0.0187731,0.8836293,0.8654476,0.8736399,0.876514,0.8455459,0.6886193
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.5481635,-0.4790351,-0.4051488,-0.4207218,-0.4786321,-0.5330888,-0.5401961
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.0859348,0.0100208,0.0130421,0.0768489,0.0572399,-0.0622132,-0.1357432
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4859862,0.3461291,0.3446447,0.3784748,0.3705156,0.1111686,0.0839363
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.3379574,-0.3283079,-0.3289996,-0.4043231,-0.4033851,-0.4110933,-0.3582943
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,1.225432,1.218931,1.228804,1.843864,1.845657,1.844056,1.314374
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,0.4412166,0.4871241,0.5310323,0.5624972,0.5495368,0.5423087,0.6968508
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.080683,1.181357,1.193236,1.218863,1.216776,1.172189,1.169803
American Samoa,ASM,Rule of Law: Estimate,RL.EST,1.410016,1.345114,1.340514,1.361758,1.364065,1.335337,1.193629
Angola,AGO,Control of Corruption: Estimate,CC.EST,-1.443944,-1.395014,-1.439528,-1.410953,-1.139192,-1.054451,-0.9270931
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.124248,-1.000327,-1.03597,-1.026034,-1.045002,-1.11754,-1.181797
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.333232,-0.5008978,-0.3158988,-0.380449,-0.3356918,-0.358525,-0.520679
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.118245,-1.081989,-1.087554,-1.101168,-1.048343,-1.054597,-0.9631715
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.6400556,0.6899276,0.6938039,0.2442875,0.2775422,0.2784069,0.2752807
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,-0.0696207,0.2271785,0.2652237,0.0113757,-0.0082157,-0.0041234,-0.149707
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9845507,1.004725,0.8786072,0.748045,0.8408569,0.9535552,0.9338933
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,-0.1772965,0.5897811,0.5088214,0.4458083,0.4153409,0.4052342,0.4520202
Armenia,ARM,Control of Corruption: Estimate,CC.EST,-0.5239608,-0.5338398,-0.571828,-0.5633132,-0.3475996,-0.1782838,0.031597
Armenia,ARM,Government Effectiveness: Estimate,GE.EST,-0.1984497,-0.1610711,-0.1583772,-0.1026952,-0.0284142,-0.0666463,-0.1242361
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2971358,-0.2523326,-0.6622638,-0.6207712,-0.4449081,-0.4134244,-0.5712944
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.3660013,-0.3879299,-0.119234,-0.1606279,-0.1494592,-0.13098,-0.0832231
Australia,AUS,Control of Corruption: Estimate,CC.EST,1.853722,1.882711,1.816108,1.798351,1.805214,1.825413,1.665165
Australia,AUS,Government Effectiveness: Estimate,GE.EST,1.607067,1.564191,1.568043,1.538219,1.595232,1.571555,1.619163
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.032192,0.8849798,1.047958,0.8960608,0.989604,0.9117457,0.8487522
Australia,AUS,Rule of Law: Estimate,RL.EST,1.923046,1.825073,1.755667,1.686461,1.715382,1.734473,1.651188
Azerbaijan,AZE,Control of Corruption: Estimate,CC.EST,-1.018758,-0.9300975,-0.8383624,-0.8853079,-0.8364836,-0.8379928,-1.048197
Azerbaijan,AZE,Government Effectiveness: Estimate,GE.EST,-0.3642464,-0.2576264,-0.165814,-0.1726412,-0.158052,-0.1401703,-0.1702325
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5599095,-0.7295656,-0.8038791,-0.7479199,-0.7067598,-0.6859124,-0.7252154
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,-0.6723402,-0.6737632,-0.5200193,-0.5575179,-0.587534,-0.5771515,-0.6910434
Bahrain,BHR,Control of Corruption: Estimate,CC.EST,0.2789476,0.1390045,-0.0157671,-0.1390255,-0.1461672,-0.0096477,-0.0655486
Bahrain,BHR,Government Effectiveness: Estimate,GE.EST,0.5647892,0.559505,0.3275663,0.1955773,0.1777807,0.2984906,0.4287471
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.9074749,-1.07354,-0.7934257,-0.9615637,-0.8504526,-0.6273595,-0.5911913
Bahrain,BHR,Rule of Law: Estimate,RL.EST,0.4136364,0.4249487,0.4563531,0.4492349,0.4128062,0.4944274,0.491358
Barbados,BRB,Control of Corruption: Estimate,CC.EST,1.138245,1.491027,1.257388,1.424147,1.411714,1.196289,1.22592
Barbados,BRB,Government Effectiveness: Estimate,GE.EST,1.204588,1.024859,1.081779,0.8445573,0.4250214,0.6311362,0.4893115
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.27792,1.135361,0.9766099,0.9668277,0.9134325,1.049227,1.129196
Barbados,BRB,Rule of Law: Estimate,RL.EST,1.08242,1.095096,0.7951409,0.660408,0.3950066,0.3570479,0.3377488
Belgium,BEL,Control of Corruption: Estimate,CC.EST,1.517457,1.514363,1.574584,1.447792,1.466163,1.485347,1.478052
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,1.523705,1.560348,1.433041,1.278846,1.261865,1.148132,1.124299
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7012694,0.5870946,0.4413673,0.4281858,0.4023501,0.4737775,0.5905626
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.551951,1.488841,1.429943,1.358459,1.376737,1.37409,1.36892
Benin,BEN,Control of Corruption: Estimate,CC.EST,-0.6660475,-0.5508423,-0.5133145,-0.561516,-0.3887573,-0.3385691,-0.0392984
Benin,BEN,Government Effectiveness: Estimate,GE.EST,-0.4572671,-0.6198767,-0.5643299,-0.6468335,-0.5638022,-0.4411183,-0.2638812
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0271398,-0.013514,-0.0020272,0.0308955,-0.1411756,-0.412668,-0.4397532
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.4881202,-0.5360809,-0.6087622,-0.6260697,-0.6733479,-0.6637715,-0.7278787
Bhutan,BTN,Control of Corruption: Estimate,CC.EST,1.280615,1.022701,1.126535,1.553321,1.640953,1.61838,1.648439
Bhutan,BTN,Government Effectiveness: Estimate,GE.EST,0.2558368,0.4060493,0.5002068,0.5571043,0.3601472,0.3124391,0.3731863
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.068039,0.974715,1.123297,1.11713,1.093906,1.082096,1.021578
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.3789314,0.5222453,0.4934784,0.611513,0.5493638,0.5903587,0.5941438
Bolivia,BOL,Control of Corruption: Estimate,CC.EST,-0.6301022,-0.6964295,-0.7242584,-0.6587374,-0.6176781,-0.7382592,-0.7563663
Bolivia,BOL,Government Effectiveness: Estimate,GE.EST,-0.5881819,-0.6522306,-0.567202,-0.3853793,-0.3178463,-0.6993221,-0.5620455
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3331121,-0.2684872,-0.2488664,-0.2780288,-0.2871185,-0.7300857,-0.4676746
Bolivia,BOL,Rule of Law: Estimate,RL.EST,-1.0553,-1.14112,-1.200806,-1.20487,-1.145215,-1.121446,-1.151606
Bosnia and Herzegovina,BIH,Control of Corruption: Estimate,CC.EST,-0.3079719,-0.3938885,-0.4563362,-0.5174395,-0.5669701,-0.6089352,-0.6038762
Bosnia and Herzegovina,BIH,Government Effectiveness: Estimate,GE.EST,-0.4515903,-0.5455111,-0.3936032,-0.4826643,-0.6150292,-0.6344742,-0.9751914
Bosnia and Herzegovina,BIH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.019179,-0.402437,-0.3978388,-0.3482373,-0.3955997,-0.4187543,-0.5145728
Bosnia and Herzegovina,BIH,Rule of Law: Estimate,RL.EST,-0.1857099,-0.2814464,-0.2168469,-0.2151614,-0.2342353,-0.2334548,-0.3060572
Botswana,BWA,Control of Corruption: Estimate,CC.EST,0.8545494,0.8524585,0.9299284,0.7879916,0.7478711,0.6905257,0.6290125
Botswana,BWA,Government Effectiveness: Estimate,GE.EST,0.3521115,0.5016473,0.5295248,0.4318962,0.3329532,0.4282575,0.2567992
Botswana,BWA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.011847,1.042092,0.99456,1.022508,0.9709879,1.111055,1.088047
Botswana,BWA,Rule of Law: Estimate,RL.EST,0.6335364,0.5960552,0.5337085,0.5090616,0.46531,0.4989015,0.4405316
Brazil,BRA,Control of Corruption: Estimate,CC.EST,-0.3383986,-0.39647,-0.3813246,-0.4959317,-0.398966,-0.3365895,-0.3424238
Brazil,BRA,Government Effectiveness: Estimate,GE.EST,-0.1397429,-0.1843512,-0.1739778,-0.2328486,-0.4497755,-0.1869027,-0.4470313
Brazil,BRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0702901,-0.3314581,-0.3772054,-0.4738646,-0.4404235,-0.7137882,-0.4216979
Brazil,BRA,Rule of Law: Estimate,RL.EST,-0.0499485,-0.147159,-0.1573322,-0.2469499,-0.2524796,-0.1806352,-0.1758137
Brunei Darussalam,BRN,Control of Corruption: Estimate,CC.EST,0.53139,0.5727226,0.5684822,0.7151719,0.7959561,0.8022829,1.28122
Brunei Darussalam,BRN,Government Effectiveness: Estimate,GE.EST,1.086186,1.059632,1.083784,1.146735,1.251249,1.317982,1.438427
Brunei Darussalam,BRN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.261507,1.242662,1.154172,1.160305,1.24136,1.108799,1.123706
Brunei Darussalam,BRN,Rule of Law: Estimate,RL.EST,0.4724531,0.4078772,0.5616808,0.6497172,0.6293485,0.6143432,0.9311345
Bulgaria,BGR,Control of Corruption: Estimate,CC.EST,-0.2827536,-0.2976201,-0.2129944,-0.1534974,-0.1452328,-0.1399162,-0.2723222
Bulgaria,BGR,Government Effectiveness: Estimate,GE.EST,-0.0001486,0.1148597,0.2084756,0.1928596,0.2030701,0.2633897,-0.0722199
Bulgaria,BGR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0785409,0.0173222,0.0773333,0.3320499,0.4562779,0.578861,0.472481
Bulgaria,BGR,Rule of Law: Estimate,RL.EST,-0.0763632,-0.1256403,-0.1051676,-0.0883203,-0.0698142,-0.0063268,-0.0870779
Burkina Faso,BFA,Control of Corruption: Estimate,CC.EST,-0.4647941,-0.2772889,-0.1479759,-0.1169276,-0.1132987,-0.2000552,-0.1011696
Burkina Faso,BFA,Government Effectiveness: Estimate,GE.EST,-0.5793024,-0.6196991,-0.5643083,-0.5780835,-0.5778441,-0.7587574,-0.6695253
Burkina Faso,BFA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7871286,-0.6111074,-0.8673759,-0.9269773,-1.059287,-1.302387,-1.551598
Burkina Faso,BFA,Rule of Law: Estimate,RL.EST,-0.5473515,-0.5234297,-0.4414265,-0.4012339,-0.4453091,-0.4261681,-0.4181253
Burundi,BDI,Control of Corruption: Estimate,CC.EST,-1.258688,-1.257721,-1.245538,-1.279798,-1.436725,-1.457849,-1.52695
Burundi,BDI,Government Effectiveness: Estimate,GE.EST,-1.129727,-1.18448,-1.441691,-1.337151,-1.414782,-1.326445,-1.259296
Burundi,BDI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7844071,-1.939511,-1.970721,-2.007869,-1.571772,-1.615159,-1.411315
Burundi,BDI,Rule of Law: Estimate,RL.EST,-0.9661258,-1.167637,-1.460521,-1.390451,-1.493813,-1.432129,-1.316482
Cabo Verde,CPV,Control of Corruption: Estimate,CC.EST,0.938208,0.9505374,0.8689511,0.8230366,0.7616211,0.8325423,0.8279572
Cabo Verde,CPV,Government Effectiveness: Estimate,GE.EST,0.0696344,0.1672158,0.1248046,0.1633043,0.320989,0.292097,0.2471965
Cabo Verde,CPV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.3507791,0.8678104,0.8862156,0.7746384,0.8458232,0.8739426,0.8807942
Cabo Verde,CPV,Rule of Law: Estimate,RL.EST,0.6347257,0.5906401,0.3474011,0.4034872,0.4441875,0.5158916,0.4879067
Cambodia,KHM,Control of Corruption: Estimate,CC.EST,-1.137787,-1.118153,-1.272752,-1.289828,-1.311975,-1.279862,-1.231246
Cambodia,KHM,Government Effectiveness: Estimate,GE.EST,-0.6894538,-0.6996924,-0.6942337,-0.659631,-0.5602662,-0.58005,-0.4194071
Cambodia,KHM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0231748,0.0619423,0.2110379,0.091222,0.1030418,-0.0894939,-0.2358826
Cambodia,KHM,Rule of Law: Estimate,RL.EST,-0.9553155,-0.9785324,-1.063893,-1.053886,-1.112072,-0.9357082,-0.9458001
Cameroon,CMR,Control of Corruption: Estimate,CC.EST,-1.16403,-1.074647,-1.154283,-1.200322,-1.149803,-1.210814,-1.131269
Cameroon,CMR,Government Effectiveness: Estimate,GE.EST,-0.7915482,-0.7808179,-0.7639731,-0.8107689,-0.7988625,-0.8121258,-0.8831259
Cameroon,CMR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.059252,-0.9896075,-1.062137,-1.095843,-1.404168,-1.559217,-1.527164
Cameroon,CMR,Rule of Law: Estimate,RL.EST,-0.8965527,-0.9760284,-1.036228,-1.02993,-1.077694,-1.118981,-1.146446
Canada,CAN,Control of Corruption: Estimate,CC.EST,1.836697,1.887181,1.989884,1.927651,1.827885,1.767164,1.597707
Canada,CAN,Government Effectiveness: Estimate,GE.EST,1.760505,1.761729,1.780962,1.857114,1.714916,1.731293,1.644323
Canada,CAN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.175504,1.274698,1.256059,1.102063,0.9791259,1.016768,1.109246
Canada,CAN,Rule of Law: Estimate,RL.EST,1.890623,1.84192,1.841268,1.806023,1.756561,1.760273,1.655119
Cayman Islands,CYM,Control of Corruption: Estimate,CC.EST,1.019108,1.019501,0.5290577,0.5292489,0.4971413,0.4666337,0.4731022
Cayman Islands,CYM,Government Effectiveness: Estimate,GE.EST,1.179923,1.166461,1.181818,1.228924,1.202872,1.169075,1.129532
Cayman Islands,CYM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.046347,1.153418,1.168496,1.190801,1.138934,1.433294,1.49174
Cayman Islands,CYM,Rule of Law: Estimate,RL.EST,0.5872156,0.8167586,0.7974545,0.7796382,0.7745451,0.7691198,0.7685181
Central African Republic,CAF,Control of Corruption: Estimate,CC.EST,-1.160188,-1.308274,-1.279835,-1.174239,-1.227124,-1.228475,-1.28198
Central African Republic,CAF,Government Effectiveness: Estimate,GE.EST,-1.849052,-1.784837,-1.771658,-1.758346,-1.713924,-1.746933,-1.689749
Central African Republic,CAF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.699193,-1.904765,-1.789267,-2.006543,-2.183386,-2.138272,-2.178489
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,-1.695814,-1.684844,-1.81683,-1.723307,-1.683269,-1.728578,-1.711812
Chad,TCD,Control of Corruption: Estimate,CC.EST,-1.31573,-1.364195,-1.487701,-1.433071,-1.405133,-1.420671,-1.41457
Chad,TCD,Government Effectiveness: Estimate,GE.EST,-1.496578,-1.461238,-1.51189,-1.463329,-1.524279,-1.568414,-1.460003
Chad,TCD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.568883,-0.9745526,-1.302365,-1.287528,-1.483272,-1.343743,-1.264458
Chad,TCD,Rule of Law: Estimate,RL.EST,-1.138757,-1.183333,-1.378202,-1.291439,-1.301453,-1.283379,-1.305166
Chile,CHL,Control of Corruption: Estimate,CC.EST,1.48874,1.280415,1.140084,1.106465,1.039679,1.066971,1.146561
Chile,CHL,Government Effectiveness: Estimate,GE.EST,1.161197,1.085782,1.010372,0.9961624,1.07547,1.060289,0.9887357
Chile,CHL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4475169,0.4334392,0.4131105,0.4171355,0.4273602,0.0079297,0.0706187
Chile,CHL,Rule of Law: Estimate,RL.EST,1.433073,1.343957,1.129331,1.149239,1.091852,1.074586,1.067767
China,CHN,Control of Corruption: Estimate,CC.EST,-0.3400132,-0.2820595,-0.2539508,-0.27085,-0.2679587,-0.2951186,-0.0658865
China,CHN,Government Effectiveness: Estimate,GE.EST,0.3225908,0.4075751,0.3545941,0.4137717,0.4792704,0.5170006,0.6479592
China,CHN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.522584,-0.5502946,-0.499395,-0.2310181,-0.3000233,-0.2566892,-0.291068
China,CHN,Rule of Law: Estimate,RL.EST,-0.414574,-0.4098733,-0.3345477,-0.2667109,-0.2028825,-0.2746037,-0.0595887
Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.3685734,-0.2981308,-0.3241391,-0.3722761,-0.2857142,-0.2363339,-0.181955
Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.1009362,-0.0363947,0.0152157,-0.07508,-0.0860052,0.0707119,0.0402886
Colombia,COL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.114594,-1.069147,-0.8824593,-0.7727076,-0.7969317,-0.9495016,-0.6735995
Colombia,COL,Rule of Law: Estimate,RL.EST,-0.2919965,-0.268497,-0.2789232,-0.3629579,-0.4062347,-0.4168378,-0.4912356
Comoros,COM,Control of Corruption: Estimate,CC.EST,-0.6121734,-0.719177,-0.6657364,-0.6877698,-0.805908,-1.020556,-1.19349
Comoros,COM,Government Effectiveness: Estimate,GE.EST,-1.674726,-1.522206,-1.552763,-1.559369,-1.62861,-1.669251,-1.593477
Comoros,COM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1869102,-0.2327915,0.0357599,0.0361181,-0.3462803,-0.1546992,-0.2917943
Comoros,COM,Rule of Law: Estimate,RL.EST,-0.8918041,-0.8152714,-0.9987311,-1.051716,-1.071624,-1.086838,-1.199232
"Congo, Dem. Rep.",COD,Control of Corruption: Estimate,CC.EST,-1.301038,-1.285472,-1.337154,-1.416593,-1.502247,-1.545593,-1.572393
"Congo, Dem. Rep.",COD,Government Effectiveness: Estimate,GE.EST,-1.562044,-1.629395,-1.510926,-1.627224,-1.552124,-1.62692,-1.692743
"Congo, Dem. Rep.",COD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.167921,-2.150854,-2.234622,-2.302249,-2.105781,-1.593899,-1.708182
"Congo, Dem. Rep.",COD,Rule of Law: Estimate,RL.EST,-1.451162,-1.572591,-1.618813,-1.682099,-1.779271,-1.786273,-1.79057
"Congo, Rep.",COG,Control of Corruption: Estimate,CC.EST,-1.178814,-1.196223,-1.186817,-1.329081,-1.350381,-1.409202,-1.403427
"Congo, Rep.",COG,Government Effectiveness: Estimate,GE.EST,-1.110886,-1.022413,-1.096853,-1.196112,-1.211082,-1.387316,-1.434841
"Congo, Rep.",COG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3592916,-0.526366,-0.5192695,-0.531724,-0.3484042,-0.8969635,-0.8958732
"Congo, Rep.",COG,Rule of Law: Estimate,RL.EST,-1.108712,-1.078594,-1.095829,-1.101178,-1.098704,-1.149737,-1.160379
Cook Islands,COK,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..
Cook Islands,COK,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,..,..
Cook Islands,COK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,0.8568977,1.064757,1.107087
Cook Islands,COK,Rule of Law: Estimate,RL.EST,..,..,..,..,..,..,..
Costa Rica,CRI,Control of Corruption: Estimate,CC.EST,0.7556039,0.7487375,0.7442904,0.5094244,0.5527953,0.7027699,0.7761228
Costa Rica,CRI,Government Effectiveness: Estimate,GE.EST,0.3963144,0.3753253,0.3551873,0.3063277,0.3762068,0.4225595,0.3622126
